date,chunky_sneakers
2017-01-02,0.006258786548746256
2017-01-09,0.005094079232996857
2017-01-16,0.00593297042680891
2017-01-23,0.005680670371114366
2017-01-30,0.005727618511164678
2017-02-06,0.005785122609949804
2017-02-13,0.005621952288178378
2017-02-20,0.007099407197297397
2017-02-27,0.006481325949385578
2017-03-06,0.006931739175386756
2017-03-13,0.008254021079428417
2017-03-20,0.00801403707736464
2017-03-27,0.007858806856566425
2017-04-03,0.007920157961178547
2017-04-10,0.00803130569882289
2017-04-17,0.007997584158399813
2017-04-24,0.007319642789296944
2017-05-01,0.007804360291190406
2017-05-08,0.008696545327171169
2017-05-15,0.008828192044531648
2017-05-22,0.006565927102540667
2017-05-29,0.008867961543771258
2017-06-05,0.009410660118675541
2017-06-12,0.007987332266602013
2017-06-19,0.008967817645765049
2017-06-26,0.008310758134788248
2017-07-03,0.008026694616405474
2017-07-10,0.008457670013636209
2017-07-17,0.007932111631231028
2017-07-24,0.007740217615249354
2017-07-31,0.007749695615263096
2017-08-07,0.009040640214506592
2017-08-14,0.009952732580931137
2017-08-21,0.0094149227053139
2017-08-28,0.007750007265877288
2017-09-04,0.009475412247110859
2017-09-11,0.007473646291685515
2017-09-18,0.007582206320806937
2017-09-25,0.008571464053540744
2017-10-02,0.008925623703183273
2017-10-09,0.00961879985910905
2017-10-16,0.008457583218842248
2017-10-23,0.006822556958542757
2017-10-30,0.008570203990011533
2017-11-06,0.006553746036612877
2017-11-13,0.006192572468636179
2017-11-20,0.006304125542607643
2017-11-27,0.008107838749328461
2017-12-04,0.00496418499372175
2017-12-11,0.005023440511584207
2017-12-18,0.006487932107328545
2017-12-25,0.006346771697835088
2018-01-01,0.007130861910423515
2018-01-08,0.006214611842054473
2018-01-15,0.00573547617653409
2018-01-22,0.00697271196891336
2018-01-29,0.006228897804076517
2018-02-05,0.006763444281747391
2018-02-12,0.007276544077516524
2018-02-19,0.009118052506357662
2018-02-26,0.008862640110867194
2018-03-05,0.008478606939228004
2018-03-12,0.00814327758046275
2018-03-19,0.0103720062132338
2018-03-26,0.008324677399721305
2018-04-02,0.008910977531497269
2018-04-09,0.009829885573063336
2018-04-16,0.009847793013096965
2018-04-23,0.01085134762448516
2018-04-30,0.01098889274832444
2018-05-07,0.009038650204182118
2018-05-14,0.009253179258726143
2018-05-21,0.01047052573531
2018-05-28,0.01197475593547914
2018-06-04,0.0114581216646517
2018-06-11,0.01153581330387712
2018-06-18,0.01231644060389372
2018-06-25,0.01239688311862627
2018-07-02,0.01216378015247807
2018-07-09,0.0134055335647438
2018-07-16,0.01361299604471227
2018-07-23,0.01287449189914615
2018-07-30,0.01360176455759342
2018-08-06,0.01457968980730642
2018-08-13,0.01464007055258769
2018-08-20,0.01654468456981685
2018-08-27,0.01720377729866625
2018-09-03,0.01668743212047366
2018-09-10,0.01891824726922525
2018-09-17,0.01651699480978325
2018-09-24,0.01401058869860925
2018-10-01,0.01601871028675905
2018-10-08,0.01475712253831337
2018-10-15,0.01505747999776118
2018-10-22,0.01505440759925041
2018-10-29,0.01553197600219564
2018-11-05,0.01229883291501465
2018-11-12,0.01235045358762544
2018-11-19,0.01014029196744558
2018-11-26,0.01435528967426662
2018-12-03,0.01224031042043982
2018-12-10,0.01258851281099217
2018-12-17,0.01226586654083421
2018-12-24,0.01320558785465003
2018-12-31,0.01441196306771555
2019-01-07,0.01183165991428113
2019-01-14,0.01058947895278315
2019-01-21,0.01333920202821901
2019-01-28,0.01222465851054049
2019-02-04,0.01653675626881497
2019-02-11,0.01281998180759694
2019-02-18,0.0180449094692726
2019-02-25,0.01652333053101703
2019-03-04,0.01985704704380711
2019-03-11,0.01689757061296015
2019-03-18,0.0181359890219845
2019-03-25,0.01894893842857776
2019-04-01,0.01955746729369565
2019-04-08,0.02131282970234719
2019-04-15,0.02007757327554918
2019-04-22,0.01977159719604369
2019-04-29,0.01942681748418916
2019-05-06,0.01984730745719021
2019-05-13,0.01794087994762288
2019-05-20,0.02038075067566299
2019-05-27,0.02115853351167414
2019-06-03,0.01852116668589957
2019-06-10,0.02131289048968008
2019-06-17,0.02236280481036785
2019-06-24,0.01930224371614427
2019-07-01,0.02220970334364487
2019-07-08,0.02316968175044158
2019-07-15,0.01981073965919442
2019-07-22,0.02232606677964126
2019-07-29,0.02053309599581507
2019-08-05,0.02092903447742942
2019-08-12,0.02272407494134948
2019-08-19,0.02445602598058332
2019-08-26,0.02267966317851169
2019-09-02,0.02408802419824591
2019-09-09,0.02019504315165417
2019-09-16,0.02190807580540171
2019-09-23,0.02026927403675329
2019-09-30,0.02060675316392927
2019-10-07,0.01900605923949918
2019-10-14,0.01890113112162291
2019-10-21,0.01804842733489599
2019-10-28,0.02090891994767021
2019-11-04,0.01658730901591171
2019-11-11,0.0164748358229107
2019-11-18,0.01616313126347067
2019-11-25,0.01739219691740082
2019-12-02,0.01431578593556044
2019-12-09,0.01457625486648589
2019-12-16,0.01283071627373321
2019-12-23,0.01373010872583325
2019-12-30,0.01623393462639741
2020-01-06,0.016209633035578
2020-01-13,0.01326243574492049
2020-01-20,0.01435414110596421
2020-01-27,0.01813181765045872
2020-02-03,0.01573631136623821
2020-02-10,0.01433675173475874
2020-02-17,0.0183353418219805
2020-02-24,0.01912678815838577
2020-03-02,0.01703726226109237
2020-03-09,0.02096956550426605
2020-03-16,0.02027769014017283
2020-03-23,0.02252601345754188
2020-03-30,0.022271936897557
2020-04-06,0.02065509951106082
2020-04-13,0.02483858820195508
2020-04-20,0.02076179107150484
2020-04-27,0.02163477273934787
